iter	Passed	Remaining
427	1586	2119
428	1588	2113
429	1589	2107
430	1592	2102
431	1596	2098
432	1599	2094
433	1601	2088
434	1604	2083
435	1606	2078
436	1610	2075
437	1613	2069
438	1615	2065
439	1618	2060
440	1621	2054
441	1625	2052
442	1628	2047
443	1630	2042
444	1633	2036
445	1635	2031
446	1637	2025
447	1639	2019
448	1643	2016
449	1645	2011
450	1648	2006
451	1650	2001
452	1653	1996
453	1655	1991
454	1659	1987
455	1662	1983
456	1664	1977
457	1666	1972
458	1668	1966
459	1672	1963
460	1675	1959
461	1677	1953
462	1680	1949
463	1682	1943
464	1684	1938
465	1689	1936
466	1692	1931
467	1695	1927
468	1697	1921
469	1699	1916
470	1701	1911
471	1706	1909
472	1708	1903
473	1711	1899
474	1713	1894
475	1715	1888
476	1719	1885
477	1722	1880
478	1724	1876
479	1726	1870
480	1729	1866
481	1731	1861
482	1736	1858
483	1738	1853
484	1741	1848
485	1743	1843
486	1746	1839
487	1748	1834
488	1751	1830
489	1753	1825
490	1755	1820
491	1758	1815
492	1760	1810
493	1763	1805
494	1766	1801
495	1769	1797
496	1771	1792
497	1773	1787
498	1775	1782
499	1778	1778
500	1780	1773
501	1783	1769
502	1786	1765
503	1789	1761
504	1792	1757
505	1795	1752
506	1799	1749
507	1802	1745
508	1804	1740
509	1806	1735
510	1808	1731
511	1811	1726
512	1814	1722
513	1816	1717
514	1818	1712
515	1820	1708
516	1823	1703
517	1828	1701
518	1830	1696
519	1832	1691
520	1834	1687
521	1837	1682
522	1839	1678
523	1843	1674
524	1846	1670
525	1849	1666
526	1851	1661
527	1853	1657
528	1855	1652
529	1859	1649
530	1862	1644
531	1864	1640
532	1867	1635
533	1870	1632
534	1872	1627
535	1877	1624
536	1880	1621
537	1882	1616
538	1885	1612
539	1887	1607
540	1892	1605
541	1895	1601
542	1898	1597
543	1900	1593
544	1903	1588
545	1907	1586
546	1909	1581
547	1912	1577
548	1914	1572
549	1916	1568
550	1919	1563
551	1924	1561
552	1927	1557
553	1929	1553
554	1931	1548
555	1934	1544
556	1938	1541
557	1940	1537
558	1943	1532
559	1945	1528
560	1947	1523
561	1950	1519
562	1954	1516
563	1956	1512
564	1958	1507
565	1960	1503
566	1962	1498
567	1964	1494
568	1967	1489
569	1970	1486
570	1973	1482
571	1976	1478
572	1979	1475
573	1984	1473
574	1987	1469
575	1990	1465
576	1992	1460
577	1994	1456
578	1996	1451
579	1999	1447
580	2002	1443
581	2004	1439
582	2006	1434
583	2008	1430
584	2010	1426
585	2012	1422
586	2016	1419
587	2019	1415
588	2022	1410
589	2024	1406
590	2026	1402
591	2028	1398
592	2033	1395
593	2035	1391
594	2039	1388
595	2042	1384
596	2044	1380
597	2046	1375
598	2048	1371
599	2051	1367
600	2055	1364
601	2058	1360
602	2060	1356
603	2062	1352
604	2065	1348
605	2070	1346
606	2073	1342
607	2075	1338
608	2077	1334
609	2079	1329
610	2082	1326
611	2086	1323
612	2088	1318
613	2091	1314
614	2093	1310
615	2095	1306
616	2098	1302
617	2102	1299
618	2105	1295
619	2107	1291
620	2110	1288
621	2113	1284
622	2117	1281
623	2120	1277
624	2123	1273
625	2125	1269
626	2127	1265
627	2130	1261
628	2134	1259
629	2137	1255
630	2139	1251
631	2142	1247
632	2144	1243
633	2148	1240
634	2152	1237
635	2155	1233
636	2157	1229
637	2159	1225
638	2162	1221
639	2166	1218
640	2168	1214
641	2171	1210
642	2173	1206
643	2176	1202
644	2179	1199
645	2182	1195
646	2184	1191
647	2186	1187
648	2188	1183
649	2191	1179
650	2194	1176
651	2197	1172
652	2200	1169
653	2204	1166
654	2207	1162
655	2212	1160
656	2215	1156
657	2217	1152
658	2219	1148
659	2222	1144
660	2226	1142
661	2230	1138
662	2232	1134
663	2234	1130
664	2236	1126
665	2239	1123
666	2243	1120
667	2245	1116
668	2248	1112
669	2250	1108
670	2252	1104
671	2254	1100
672	2258	1097
673	2261	1093
674	2265	1090
675	2268	1087
676	2271	1083
677	2275	1080
678	2277	1076
679	2280	1073
